2025-10-17 10:56:11Z Start. container=immutable prefix=Folder1/Folder2/Folder3/Folder batch=256 concurrency=64 foldersParallel=1 heartbeatEvery=1000
2025-10-17 10:56:12Z Discovered 2 folder(s) under prefix.
2025-10-17 10:56:12Z FOLDER-START Folder1/Folder2/Folder3/Folder4
2025-10-17 10:56:19Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=1000
2025-10-17 10:56:19Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=2000
2025-10-17 10:56:19Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=3000
2025-10-17 10:56:33Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=4000
2025-10-17 10:56:33Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=5000
2025-10-17 10:56:33Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=6000
2025-10-17 10:56:49Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=7000
2025-10-17 10:56:49Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=8000
2025-10-17 10:56:49Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=9000
2025-10-17 10:57:06Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=10000
2025-10-17 10:57:06Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=11000
2025-10-17 10:57:06Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=12000
2025-10-17 10:57:12Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=13000
2025-10-17 10:57:12Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=14000
2025-10-17 10:57:12Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=15000
2025-10-17 10:57:13Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=16000
2025-10-17 10:57:13Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=17000
2025-10-17 10:57:13Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=18000
2025-10-17 10:57:13Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=19000
2025-10-17 10:57:13Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=20000
2025-10-17 10:57:14Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=21000
2025-10-17 10:57:14Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=22000
2025-10-17 10:57:14Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=23000
2025-10-17 10:57:14Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=24000
2025-10-17 10:57:14Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=25000
2025-10-17 10:57:15Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=26000
2025-10-17 10:57:15Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=27000
2025-10-17 10:57:15Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=28000
2025-10-17 10:57:17Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=29000
2025-10-17 10:57:17Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=30000
2025-10-17 10:57:17Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=31000
2025-10-17 10:57:18Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=32000
2025-10-17 10:57:18Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=33000
2025-10-17 10:57:18Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=34000
2025-10-17 10:57:19Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=35000
2025-10-17 10:57:19Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=36000
2025-10-17 10:57:19Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=37000
2025-10-17 10:57:19Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=38000
2025-10-17 10:57:19Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=39000
2025-10-17 10:57:19Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=40000
2025-10-17 10:57:19Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=41000
2025-10-17 10:57:20Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=42000
2025-10-17 10:57:20Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=43000
2025-10-17 10:57:20Z HEARTBEAT Folder1/Folder2/Folder3/Folder4 queued=44000
